rank_test_score,mean_test_score,mean_train_score,gap,std_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_ccp_alpha
155,0.5590710235245749,0.5883254029604805,0.029254379435905586,0.12604703133048367,gini,3,10,20,0.0005
155,0.5590710235245749,0.5883254029604805,0.029254379435905586,0.12604703133048367,gini,3,10,40,0.0005
155,0.5590710235245749,0.5883254029604805,0.029254379435905586,0.12604703133048367,entropy,3,10,10,0.0005
155,0.5590710235245749,0.5883254029604805,0.029254379435905586,0.12604703133048367,entropy,3,10,20,0.0005
155,0.5590710235245749,0.5883254029604805,0.029254379435905586,0.12604703133048367,entropy,3,10,40,0.0005
155,0.5590710235245749,0.5883254029604805,0.029254379435905586,0.12604703133048367,entropy,3,10,10,0.001
155,0.5590710235245749,0.5883254029604805,0.029254379435905586,0.12604703133048367,entropy,3,10,20,0.001
155,0.5590710235245749,0.5883254029604805,0.029254379435905586,0.12604703133048367,entropy,3,10,40,0.001
170,0.5566462585510848,0.6304503636279103,0.07380410507682544,0.12422566816720801,gini,6,10,40,0.001
171,0.5563993296823491,0.6329363988733986,0.07653706919104952,0.12401792168216849,gini,6,10,10,0.001
171,0.5563993296823491,0.6329363988733986,0.07653706919104952,0.12401792168216849,gini,6,10,20,0.001
173,0.5554001937798343,0.6294363127657866,0.0740361189859523,0.11670613063795293,entropy,8,10,10,0.002
173,0.5554001937798343,0.6294363127657866,0.0740361189859523,0.11670613063795293,entropy,8,10,20,0.002
175,0.5474942513447221,0.6254698349087925,0.07797558356407042,0.13265632496550347,entropy,8,5,10,0.0005
176,0.5469547179496624,0.6250329245594489,0.07807820660978648,0.13210766112571168,entropy,8,5,10,0.001
177,0.5468607746630744,0.5755840307772224,0.028723256114148055,0.19910954121152943,entropy,4,5,10,0.0
177,0.5468607746630744,0.5758034313382737,0.028942656675199352,0.19910954121152943,entropy,4,5,20,0.0
177,0.5468607746630744,0.5758034313382737,0.028942656675199352,0.19910954121152943,entropy,4,5,40,0.0
177,0.5468607746630744,0.5755840307772224,0.028723256114148055,0.19910954121152943,entropy,4,5,10,0.0005
177,0.5468607746630744,0.5758034313382737,0.028942656675199352,0.19910954121152943,entropy,4,5,20,0.0005
177,0.5468607746630744,0.5758034313382737,0.028942656675199352,0.19910954121152943,entropy,4,5,40,0.0005
177,0.5468607746630744,0.5758034313382737,0.028942656675199352,0.19910954121152943,entropy,4,5,10,0.001
177,0.5468607746630744,0.5758034313382737,0.028942656675199352,0.19910954121152943,entropy,4,5,20,0.001
177,0.5468607746630744,0.5758034313382737,0.028942656675199352,0.19910954121152943,entropy,4,5,40,0.001
186,0.5462641959780838,0.6249346676428378,0.07867047166475394,0.131345985596219,entropy,8,5,10,0.0
187,0.5445273495048057,0.5932202279077367,0.048692878402930906,0.17222397944903975,entropy,5,5,10,0.0
187,0.5445273495048057,0.5932202279077367,0.048692878402930906,0.17222397944903975,entropy,5,5,10,0.0005
189,0.5443919389456858,0.6198767704801937,0.07548483153450791,0.1372731079580989,entropy,8,5,20,0.0
189,0.5443919389456858,0.6198767704801937,0.07548483153450791,0.1372731079580989,entropy,8,5,20,0.0005
191,0.5442041716039868,0.6200051302986843,0.0758009586946975,0.13546520462097975,entropy,8,5,20,0.001
192,0.5442039913438912,0.5927158648258998,0.04851187348200858,0.17191783558299362,entropy,5,5,20,0.0
192,0.5442039913438912,0.5927158648258998,0.04851187348200858,0.17191783558299362,entropy,5,5,20,0.0005
192,0.5442039913438912,0.5927158648258998,0.04851187348200858,0.17191783558299362,entropy,5,5,20,0.001
195,0.5440234091948231,0.5930912086592963,0.04906779946447326,0.17177373153053582,entropy,5,5,10,0.001
196,0.543792312197182,0.5814519131863921,0.03765960098921006,0.12463270991940116,entropy,4,10,10,0.002
196,0.543792312197182,0.5814519131863921,0.03765960098921006,0.12463270991940116,entropy,4,10,20,0.002
196,0.543792312197182,0.5814519131863921,0.03765960098921006,0.12463270991940116,entropy,4,10,40,0.002
199,0.5437813553599313,0.5910343301571392,0.047252974797207914,0.1719123916587856,entropy,5,5,40,0.0
199,0.5437813553599313,0.5910343301571392,0.047252974797207914,0.1719123916587856,entropy,5,5,40,0.0005
199,0.5437813553599313,0.5910343301571392,0.047252974797207914,0.1719123916587856,entropy,5,5,40,0.001
202,0.541021301384711,0.6068518563041975,0.06583055491948642,0.14482131729663786,entropy,8,10,40,0.002
203,0.5409964082215591,0.5806672597180041,0.039670851496445,0.11900950169656223,gini,3,20,10,0.0
203,0.5409964082215591,0.5806672597180041,0.039670851496445,0.11900950169656223,gini,3,20,20,0.0
203,0.5409964082215591,0.5806672597180041,0.039670851496445,0.11900950169656223,gini,3,20,40,0.0
203,0.5409964082215591,0.5806672597180041,0.039670851496445,0.11900950169656223,entropy,3,20,10,0.0
203,0.5409964082215591,0.5806672597180041,0.039670851496445,0.11900950169656223,entropy,3,20,20,0.0
203,0.5409964082215591,0.5806672597180041,0.039670851496445,0.11900950169656223,entropy,3,20,40,0.0
203,0.5409964082215591,0.5806672597180041,0.039670851496445,0.11900950169656223,entropy,3,20,10,0.0005
